

2013-10-16 15:15:14	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.1
2013-10-16 15:15:19	down	(834,509)	
2013-10-16 15:15:56	down	(834,661)	
2013-10-16 15:16:10	down	(834,890)	
2013-10-16 15:16:18	down	(834,1020)	
2013-10-16 15:16:22	down	(834,1031)	
2013-10-16 15:16:25	down	(834,1031)	
2013-10-16 15:16:39	up	(834,771)	
2013-10-16 15:16:40	right	(866,771)	
2013-10-16 15:16:42	up	(866,630)	
2013-10-16 15:16:47	down	(866,683)	
2013-10-16 15:16:53	up	(866,651)	
2013-10-16 15:17:36	clicked	(866,651)	
2013-10-16 15:17:47	clicked	(866,651)	
2013-10-16 15:17:57	clicked	(866,651)	
2013-10-16 15:17:57	clicked	(866,651)	
2013-10-16 15:18:00	clicked	(866,651)	
2013-10-16 15:18:00	left	(790,651)	
2013-10-16 15:18:01	left	(736,651)	
2013-10-16 15:18:03	left	(606,651)	
2013-10-16 15:18:05	left	(584,651)	
2013-10-16 15:18:11	left	(562,651)	
2013-10-16 15:18:32	left	(421,651)	
2013-10-16 15:18:56	left	(40,651)	
2013-10-16 15:19:11	left	(40,651)	
2013-10-16 15:19:12	left	(40,651)	
2013-10-16 15:19:13	left	(40,651)	
2013-10-16 15:19:14	left	(40,651)	
2013-10-16 15:19:15	up	(40,564)	
2013-10-16 15:19:52	right	(768,564)	
2013-10-16 15:19:58	right	(1094,564)	
2013-10-16 15:20:06	right	(1877,564)	
2013-10-16 15:20:06	left	(1868,564)	
2013-10-16 15:20:07	right	(1877,564)	
2013-10-16 15:20:10	right	(1877,564)	
2013-10-16 15:20:11	right	(1877,564)	
2013-10-16 15:20:56	down	(1919,1037)	
2013-10-16 15:21:10	clicked	(1919,1037)	
2013-10-16 15:21:18	clicked	(1919,1037)	
2013-10-16 15:21:20	clicked	(1919,1037)	
2013-10-16 15:21:22	clicked	(1919,1037)	
2013-10-16 15:21:23	clicked	(1919,1037)	
2013-10-16 15:21:25	clicked	(1919,1037)	
2013-10-16 15:21:37	left	(1746,1037)	
2013-10-16 15:21:43	clicked	(1746,1037)	
2013-10-16 15:21:44	down	(1746,1037)	
2013-10-16 15:21:44	clicked	(1746,1037)	
2013-10-16 15:21:45	down	(1746,1037)	
2013-10-16 15:21:47	down	(1746,1037)	
2013-10-16 15:21:49	down	(1746,1037)	
2013-10-16 15:22:09	right	(1876,1037)	
2013-10-16 15:22:14	right	(1876,1037)	
2013-10-16 15:22:24	right	(1876,1037)	
2013-10-16 15:22:31	right	(1876,1037)	
2013-10-16 15:22:44	right	(1876,1037)	
2013-10-16 15:22:46	right	(1876,1037)	
2013-10-16 15:22:51	right	(1876,1037)	
2013-10-16 15:22:52	clicked	(1876,1037)	
2013-10-16 15:22:53	right	(1876,1037)	
2013-10-16 15:22:55	right	(1876,1037)	
2013-10-16 15:22:57	down	(1876,1037)	
2013-10-16 15:22:59	up	(1876,821)	
2013-10-16 15:23:01	left	(1540,821)	
2013-10-16 15:23:08	left	(745,821)	
2013-10-16 15:23:09	right	(810,821)	
2013-10-16 15:23:11	left	(789,821)	
2013-10-16 15:23:12	clicked	(789,821)	
2013-10-16 15:23:17	left	(734,821)	
2013-10-16 15:23:23	left	(49,821)	
2013-10-16 15:23:28	up	(49,48)	
2013-10-16 15:23:29	clicked	(49,48)	
2013-10-16 15:23:30	clicked	(49,48)	
2013-10-16 15:23:31	clicked	(49,48)	
2013-10-16 15:23:35	clicked	(49,48)	
2013-10-16 15:23:36	clicked	(49,48)	
2013-10-16 15:23:38	down	(49,123)	
2013-10-16 15:23:49	right	(1876,123)	
2013-10-16 15:23:56	down	(1876,1037)	
2013-10-16 15:23:57	clicked	(1876,1037)	
2013-10-16 15:23:59	clicked	(1876,1037)	
2013-10-16 15:23:59	clicked	(1876,1037)	
2013-10-16 15:24:00	clicked	(1876,1037)	
2013-10-16 15:24:01	clicked	(1876,1037)	
2013-10-16 15:24:02	clicked	(1876,1037)	
2013-10-16 15:24:05	right	(1876,1037)	
2013-10-16 15:24:09	up	(1876,451)	
2013-10-16 15:24:10	up	(1876,353)	
2013-10-16 15:24:12	up	(1876,146)	
2013-10-16 15:24:13	up	(1876,102)	
2013-10-16 15:24:15	up	(1876,48)	
2013-10-16 15:24:16	clicked	(1876,48)	
2013-10-16 15:24:17	clicked	(1876,48)	
2013-10-16 15:24:18	clicked	(1876,48)	
2013-10-16 15:24:19	clicked	(1876,48)	
2013-10-16 15:24:25	clicked	(1876,48)	
2013-10-16 15:24:26	down	(1876,167)	
2013-10-16 15:24:28	up	(1876,48)	
2013-10-16 15:24:29	down	(1876,178)	
2013-10-16 15:24:31	up	(1876,48)	
2013-10-16 15:24:34	up	(1876,48)	
2013-10-16 15:24:36	down	(1876,265)	
2013-10-16 15:24:37	down	(1876,276)	
2013-10-16 15:24:40	up	(1876,48)	


2013-10-16 15:40:59	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.1
2013-10-16 15:41:07	right	(1919,386)	
2013-10-16 15:41:08	right	(1919,386)	
2013-10-16 15:41:11	down	(1919,701)	
2013-10-16 15:41:12	left	(1844,701)	
2013-10-16 15:41:17	down	(1844,1079)	
2013-10-16 15:41:22	up	(1844,819)	
2013-10-16 15:41:28	up	(1844,0)	
2013-10-16 15:41:35	left	(-2,231)	
2013-10-16 15:41:42	left	(-8,188)	


2013-10-16 15:42:05	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.1
2013-10-16 15:42:12	right	(1530,24)	
2013-10-16 15:42:13	up	(1530,2)	
2013-10-16 15:42:19	down	(1429,1073)	
2013-10-16 15:42:28	down	(70,707)	
2013-10-16 15:42:34	left	(1872,30)	
2013-10-16 15:42:45	left	(3,423)	
2013-10-16 15:42:50	up	(3,0)	
2013-10-16 15:42:55	up	(12,6)	
2013-10-16 15:42:56	up	(0,0)	
2013-10-16 15:42:58	down	(0,95)	
2013-10-16 15:43:02	up	(2,0)	
2013-10-16 15:43:17	right	(1919,717)	


2013-10-16 15:43:54	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.1
2013-10-16 15:44:13	right	(1608,888)	
2013-10-16 15:44:20	down	(522,437)	
2013-10-16 15:44:59	right	(1161,491)	


2013-10-16 15:44:46	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.1


2013-10-16 15:45:05	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.1
2013-10-16 15:45:13	right	(1901,12)	
2013-10-16 15:45:22	right	(1897,411)	
2013-10-16 15:45:31	down	(1698,1059)	
2013-10-16 15:45:32	down	(1778,1062)	
2013-10-16 15:45:35	down	(1852,1059)	


2013-10-16 15:45:57	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.1
2013-10-16 15:46:08	right	(1838,0)	
2013-10-16 15:46:12	right	(1900,703)	
2013-10-16 15:46:15	down	(1900,1062)	
2013-10-16 15:46:19	down	(800,1057)	
2013-10-16 15:46:22	left	(453,1057)	
2013-10-16 15:46:24	left	(257,1057)	
2013-10-16 15:46:29	left	(18,1057)	
2013-10-16 15:46:36	up	(18,14)	


2013-10-16 16:02:12	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.2
2013-10-16 16:02:23	right	(1904,223)	
2013-10-16 16:02:24	left	(1786,223)	
2013-10-16 16:02:28	left	(16,307)	
2013-10-16 16:02:31	up	(783,143)	
2013-10-16 16:02:36	down	(1831,1064)	


2013-10-16 16:10:41	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.2
2013-10-16 16:10:46	right	(1458,420)	
2013-10-16 16:10:49	up	(1103,319)	
